Title,Title_URL,Image,Like,Name,Description
Tool,https://www.voiceflow.com/marketplace/custom-agency-dashboard,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/651da731be4cce74bb9380cb_Screenshot%202023-09-29%20at%202.11.25%20PM%20(1).png,Custom Analytics Dashboard,REAL AI,Custom analytics dashboard for agency owners!
Showcase,https://www.voiceflow.com/marketplace/ai-powered-search,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/65201c2f9b1a0547bfc4d653_CleanShot%202023-10-06%20at%2010.35.58%402x.png,AI powered search for help centre automation,W. Williams,Esnipe.com integrated Voiceflow's Knowledge Base directly into their search flow and decreased support tickets by 70%
Tool,https://www.voiceflow.com/marketplace/voiceglow,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653441f817ca225f10584694_4-3-vg-banner-2%20(1).png,Voiceglow,Moe Ayman,Interface customization for Voiceflow bots
Tool,https://www.voiceflow.com/marketplace/gpt-discord-bot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471564a930ca3ed5e6cd_6476401b49059f7901c06f82_discord%2520image.png,Discord Integration Code Sample,Nicolas Arcay Bermejo,"Use this template to build a Discord Bot powered by GPT4, Replit, and Voiceflow."
Tool,https://www.voiceflow.com/marketplace/gpt-slackbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d94714603f0f6792a1440c_646fcc0c5415148d215223bc_Group%252051.png,Slackbot Integration Code Sample,Nicolas Arcay Bermejo,This template lets you create an instant Slackbot that will answer questions from uploaded internal docs.
Tool,https://www.voiceflow.com/marketplace/calendly-integration-webchat-inline,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b235010968445e1d20543_CleanShot%202023-09-20%20at%2012.52.12.png,Inline Calendly Integration,Muhammad Dabeer,Embed calendly widget into Voiceflow
Tool,https://www.voiceflow.com/marketplace/calendly-integration-webchat-pop-up,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b2370924036a4e44400a0_CleanShot%202023-09-20%20at%2012.50.49.png,Calendly Integration - Pop Up,Muhammad Dabeer,Add a Calendly Booking button into your chat
Tool,https://www.voiceflow.com/marketplace/file-uploader-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b23a02e32603cf43b5af0_CleanShot%202023-09-20%20at%2012.53.38.png,File Uploader,Muhammad Dabeer,Upload files to voiceflow without leaving the chat!
Tool,https://www.voiceflow.com/marketplace/wordpress-integration,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b24004aa24c57bf86bc31_CleanShot%202023-09-20%20at%2012.55.12.png,Wordpress Integration,Phil Brown,Add Voiceflow chatbots onto WordPress sites without coding
Tool,https://www.voiceflow.com/marketplace/google-form-integration-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b22abf10e902e797339b6_CleanShot%202023-09-20%20at%2012.49.20.png,Google Form Integration,Joël Scheuner,Embed a google sheet right into your Voiceflow assistant!
Tool,https://www.voiceflow.com/marketplace/live-chat-file-upload-custom-language-settings-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650b04c80fe596c46f293e42_CleanShot%202023-09-20%20at%2010.41.52.png,Live chat and file upload,Sindri Mørch Tomasson,Add file upload and connection to intercom live chat in Voiceflow chat
Webchat plugin,https://www.voiceflow.com/marketplace/native-calendar-widget-via-calendly-webchat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650de1d7649046ec662ff47f_CleanShot%202023-09-22%20at%2014.49.33%402x.png,Add a Calendly calendar,Norman Dilthey,Book meetings with Calendly inside the Voiceflow chat.
Template,https://www.voiceflow.com/marketplace/custom-chat-interface-webflow,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650de2329ca074e60c7fd711_kAHbpI5SYo39vLAMf8KTycLQqDIFoomObQvfzxC3DTM.png,Custom Chat Interface,Zac Santer,Custom webchat interface built using Webflow.
Showcase,https://www.voiceflow.com/marketplace/giftit-sherlock-an-custom-app-built-on-voiceflow,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/650df92949c14fe34ee6dc1a_CleanShot%202023-09-22%20at%2016.29.13%402x.png,Giftit Sherlock,David Oort Alonso ,Mobile and WhatsApp app built on Voiceflow! Find out what your friends want by letting Sherlock ask them and keep the surprise
Template,https://www.voiceflow.com/marketplace/head-startbot-lite,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fb19cce92fb53eea0a_6514406dd124bd37d34b2dd2_Head%2520start%2520bot%2520lite.png,Head Start Bot Lite,Tyler Brunson,This user-friendly template serves as a simplified starting point for those eager to implement chatbots in their projects or businesses.
Template,https://www.voiceflow.com/marketplace/dynamic-cards-template,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fb2f7af5d28e139ade_651728d3b562c7f5e28a6b84_Capture-2023-09-29-154302.png,Create Dynamic Cards in Voiceflow,Muhammad Dabeer,Take a long list that you get from an API call and turn it into a dynamic number of cards!
Template,https://www.voiceflow.com/marketplace/lead-gen-shopify-api,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fc584fa79d22e3bde6_64f792a74d623ff7e15ee4fb_youtube%2520cover.jpeg,"E-Commerce Chatbot with FAQ, Lead Generation, and Shopify API Connection",Erdinc,Create a lead generation chatbot using the Shopify API connection
Template,https://www.voiceflow.com/marketplace/appointment-setting-chatbot-zapier,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fc777c2c80868e46cd_6529a6fcd4b613ea33309508_Voiceflow%2520Templates%2520Marketplace.png,Appointment Setting Chatbot with Zapier,Milan Jerkovic,Capture information from the user and send it to Zapier to book an appointment!
Template,https://www.voiceflow.com/marketplace/lead-generation-template-with-make-google-sheets,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fc7784a6ac900d1c50_6529a898b4ca64b583ef523c_Max%2520Resolution%2520Default.jpeg,Lead Generation Template,Brendan Jowett,A straightforward yet highly efficient lead generation framework.
Template,https://www.voiceflow.com/marketplace/head-start-bot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fc7bb9bb116f7d4959_650b03370ee15887fe22e70e_Workshop%2520%25231%2520(6).png,Head Start Bot,Tyler Brunson,This template serves as a launchpad for those looking to harness the benefits of automation without the coding complexity.
Template,https://www.voiceflow.com/marketplace/connect-voiceflow-with-instagram-dms-facebook-messenger-using-manychat,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fba77b26ccc710ea78_6529a4509a4672909a8ac1ba_Max%2520Resolution.jpeg,Connect Voiceflow with Instagram DMs & Facebook Messenger Using ManyChat,OmniFusion AI,Connect Voiceflow with Instagram DMs via ManyChat!
Template,https://www.voiceflow.com/marketplace/unlimited-languages,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/653a73fcd04706e312cb6374_6536c33d37aefb7c8619dd54_Language_Change_Feature.png,Unlimited Languages Feature Template,Tyler Brunson,Make your assistants multi-lingual without the complexity of coding
Template,https://www.voiceflow.com/marketplace/conversational-travel-assistant,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/654167dc03a6566fee7a22ad_1.png,Conversational Travel Assistant,Brendan Jowett,This chatbot is designed for engaging in back-and-forth conversations to help you plan your travels.
Template,https://www.voiceflow.com/marketplace/electrical-contractor-chatbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/65426e8198f553c5f9212aef_07fHaon7g383q2bGl0fPB0QLxYFCBpfIdiBfyFmzECk.jpeg,Electrical Contractor Chatbot,Phil Brown,A multifunctional chatbot designed for electrical contracting businesses.
Template,https://www.voiceflow.com/marketplace/plumbing-contractor-chatbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/65426ee1c5822fb92f16485e_Rb8yJ22nITRuyx6mHIvZLZx9vgMvm7mpD0RbIuDWMbQ.jpeg,Plumbing Contractor Chatbot,Phil Brown,Designed for plumbing contracting businesses.
Demo,https://www.voiceflow.com/marketplace/alex-hormozi-business-advisor,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/65426f1a76785ad56ad47b65_alex%20hormozi.png,Alex HormoziAI Business Advisor,Alex Northstar,"Alex Hormozi: $100 MILLION estimated net worth. I automated him to consult you for FREE, instead of $9000/h."
Demo,https://www.voiceflow.com/marketplace/j-clearai-habit-coach,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/65428ec8f8957caecdcb659f_clear%20ai.png,J. ClearAI Habit Coach,Alex Northstar,"Fix your Habits & Life in 3 months with James ""NorthStar"" Clear."
Demo,https://www.voiceflow.com/marketplace/muskai-business-innovation-advisor,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/65428f08e6e360bd335f567e_musk.png,MuskAI: Business & Innovation Advisor,Alex Northstar,"TALK to Elon instead of watching Netflix I automated the CEO of X, Tesla & SpaceX to consult you for FREE."
,https://www.voiceflow.com/marketplace/e-commerce-product-recommendation-chatbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/654290539c576d2c10e01314_product%20recommm.png,E-Commerce Product Recommendation Chatbot,Brendan Jowett,Uses AI to generate a relevant Airtable formula to the user query that is able to pull product recommendations from a database
Template,https://www.voiceflow.com/marketplace/dynamic-carousels,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/654290294086b1f49ce2fac8_lead%20gen.jpeg,"Dynamic Carousels With YouTube, Calendly",Borja Pallasá,"Lead Generation Chatbot With Dynamic Carousels (Voiceflow, Calendly, YouTube, Loom Integration)"
Template,https://www.voiceflow.com/marketplace/google-calendar,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/6542975950265d32877eb803_calendar.jpeg,Appointment Setting In Google Calendar,Mal Wood,"Using Google's freeBusy API endpoint, never double book appointments again."
